,Dataset,scaled_acc,scaled_mae,orig_acc,orig_mae
0,test_balance-scale.0,98.726115,0.012739,91.082803,0.101911
1,test_balance-scale.1,99.363057,0.006369,88.535032,0.133758
2,test_balance-scale.10,98.089172,0.019108,89.808917,0.11465
3,test_balance-scale.11,95.541401,0.044586,91.082803,0.10828
4,test_balance-scale.12,98.726115,0.012739,91.082803,0.10828
5,test_balance-scale.13,98.726115,0.012739,89.808917,0.121019
6,test_balance-scale.14,96.815287,0.031847,91.719745,0.101911
7,test_balance-scale.15,98.726115,0.012739,89.808917,0.121019
8,test_balance-scale.16,100.0,0.0,91.082803,0.101911
9,test_balance-scale.17,98.726115,0.012739,90.44586,0.101911
10,test_balance-scale.18,98.726115,0.012739,86.624204,0.146497
11,test_balance-scale.19,98.089172,0.019108,90.44586,0.121019
12,test_balance-scale.2,98.726115,0.012739,91.082803,0.095541
13,test_balance-scale.20,98.089172,0.019108,88.535032,0.121019
14,test_balance-scale.21,98.726115,0.012739,91.719745,0.095541
15,test_balance-scale.22,99.363057,0.006369,89.171975,0.121019
16,test_balance-scale.23,99.363057,0.006369,91.719745,0.095541
17,test_balance-scale.24,100.0,0.0,92.993631,0.089172
18,test_balance-scale.25,98.726115,0.012739,88.535032,0.140127
19,test_balance-scale.26,99.363057,0.006369,88.535032,0.127389
20,test_balance-scale.27,98.089172,0.019108,90.44586,0.101911
21,test_balance-scale.28,99.363057,0.006369,89.171975,0.127389
22,test_balance-scale.29,98.726115,0.012739,92.993631,0.076433
23,test_balance-scale.3,100.0,0.0,93.630573,0.070064
24,test_balance-scale.4,98.726115,0.012739,88.535032,0.127389
25,test_balance-scale.5,99.363057,0.006369,91.719745,0.10828
26,test_balance-scale.6,99.363057,0.006369,89.808917,0.101911
27,test_balance-scale.7,98.726115,0.012739,93.630573,0.070064
28,test_balance-scale.8,99.363057,0.006369,90.44586,0.101911
29,test_balance-scale.9,98.726115,0.012739,87.261146,0.140127
