num,lambda,trainprob,trainacc,trainmae,prob,acc,mae
1,0.0625,0.791051,1,0,0.348993,0.366372,0.89462
2,0.5,0.669757,1,0,0.357758,0.382953,0.806804
3,0.125,0.784337,1,0,0.388526,0.417097,0.738148
4,0.0625,0.790307,1,0,0.396269,0.424957,0.761238
5,1,0.570869,0.92,0.08,0.321051,0.360354,0.917097
6,0.0625,0.790782,1,0,0.342688,0.356301,0.896094
7,2,0.30484,0.64,0.4,0.263686,0.415868,0.781995
8,1,0.527328,0.94,0.06,0.32875,0.388725,0.832965
9,0.5,0.652737,1,0,0.335127,0.356546,0.894006
10,0.5,0.69708,1,0,0.383747,0.417711,0.753623
11,1,0.530112,0.92,0.08,0.327694,0.3789,0.817612
12,0.0625,0.791333,1,0,0.343202,0.364161,0.88676
13,0.125,0.784042,1,0,0.33921,0.354827,0.887497
14,2,0.329527,0.78,0.26,0.264738,0.384304,0.841808
15,1,0.48426,0.92,0.08,0.339901,0.409113,0.744535
16,2,0.316185,0.76,0.3,0.234127,0.336649,0.997544
17,0.0625,0.790449,1,0,0.317614,0.333333,1.05994
18,0.5,0.716701,1,0,0.373041,0.40592,0.791329
19,2,0.326403,0.76,0.3,0.247282,0.338983,1.01793
20,0.25,0.764488,1,0,0.37007,0.392164,0.820314
