num,lambda,trainprob,trainacc,trainmae,prob,acc,mae
0,2,0.408228,0.581,0.506,0.370963,0.475921,0.698458
1,2,0.419631,0.591,0.477,0.369378,0.456091,0.720806
2,2,0.412421,0.581,0.507,0.373134,0.46333,0.712622
3,4,0.387639,0.521,0.581,0.361537,0.464904,0.716084
4,4,0.382993,0.526,0.602,0.360026,0.472458,0.711678
5,4,0.383573,0.538,0.585,0.3615,0.474662,0.707586
6,8,0.344111,0.494,0.69,0.341356,0.457664,0.740951
7,4,0.381203,0.526,0.587,0.367669,0.471199,0.706012
8,4,0.387447,0.535,0.581,0.362705,0.462701,0.713881
9,4,0.382569,0.547,0.585,0.360083,0.471829,0.699402
10,2,0.4196,0.582,0.502,0.374299,0.453573,0.72836
11,4,0.373893,0.518,0.61,0.355999,0.465534,0.71514
12,2,0.418532,0.592,0.482,0.374701,0.475291,0.713881
13,2,0.403931,0.57,0.523,0.368622,0.457664,0.72175
14,4,0.383111,0.523,0.589,0.366155,0.480642,0.694995
15,2,0.416374,0.57,0.511,0.370544,0.467737,0.709789
16,2,0.414569,0.582,0.496,0.369663,0.468366,0.714511
17,2,0.402984,0.548,0.554,0.374043,0.463645,0.710419
18,2,0.416371,0.577,0.493,0.374305,0.468996,0.712622
19,4,0.375629,0.536,0.584,0.35763,0.475291,0.699717
