num,lambda,trainprob,trainacc,trainmae,prob,acc,mae
0,0.5,0.517894,0.710383,0.303279,0.503664,0.737705,0.278689
1,0.25,0.515674,0.737705,0.273224,0.510155,0.688525,0.327869
2,0.5,0.521798,0.73224,0.289617,0.494679,0.655738,0.352459
3,0.25,0.512505,0.740437,0.281421,0.516082,0.721311,0.295082
4,1,0.51623,0.740437,0.281421,0.505497,0.672131,0.352459
5,0.25,0.510301,0.70765,0.311475,0.523353,0.803279,0.213115
6,0.25,0.518446,0.73224,0.281421,0.511449,0.737705,0.295082
7,1,0.578178,0.762295,0.248634,0.559594,0.704918,0.319672
8,0.5,0.586153,0.759563,0.251366,0.578964,0.737705,0.262295
9,2,0.57368,0.745902,0.26776,0.538199,0.696721,0.327869
10,1,0.58159,0.754098,0.262295,0.563313,0.721311,0.295082
11,1,0.566265,0.729508,0.286885,0.575799,0.770492,0.237705
12,1,0.580725,0.762295,0.254098,0.551529,0.713115,0.286885
13,2,0.559853,0.743169,0.273224,0.549559,0.704918,0.311475
14,0.5,0.589133,0.754098,0.251366,0.574469,0.704918,0.303279
15,2,0.553665,0.740437,0.273224,0.560034,0.754098,0.262295
16,0.25,0.592837,0.754098,0.251366,0.60086,0.745902,0.270492
17,2,0.567376,0.762295,0.251366,0.540071,0.704918,0.319672
18,1,0.57917,0.754098,0.259563,0.558258,0.713115,0.303279
19,1,0.588577,0.751366,0.265027,0.543751,0.696721,0.311475
20,0.25,0.599413,0.748634,0.262295,0.571793,0.704918,0.327869
21,1,0.586908,0.745902,0.265027,0.561049,0.696721,0.319672
22,1,0.572954,0.729508,0.284153,0.571643,0.696721,0.319672
23,1,0.574816,0.754098,0.259563,0.563528,0.696721,0.311475
24,1,0.615255,0.778689,0.229508,0.537714,0.680328,0.352459
25,0.5,0.590007,0.754098,0.256831,0.56887,0.729508,0.278689
26,2,0.567976,0.756831,0.259563,0.550747,0.696721,0.319672
27,2,0.561506,0.734973,0.278689,0.544919,0.688525,0.327869
28,4,0.522412,0.73224,0.286885,0.531971,0.754098,0.270492
29,0.5,0.598833,0.762295,0.248634,0.558056,0.721311,0.286885
