num,lambda,trainprob,trainacc,trainmae,prob,acc,mae
0,0.0625,0.378832,0.537333,0.5,0.3769,0.524,0.512
1,0.0625,0.37577,0.541333,0.494667,0.381982,0.568,0.472
2,0.0625,0.378755,0.536,0.502667,0.372646,0.548,0.488
3,0.0625,0.373189,0.517333,0.522667,0.38422,0.576,0.456
4,0.0625,0.376209,0.542667,0.494667,0.375793,0.564,0.468
5,0.0625,0.376309,0.536,0.498667,0.377227,0.548,0.5
6,0.0625,0.376986,0.54,0.498667,0.374533,0.536,0.5
7,0.0625,0.377136,0.542667,0.494667,0.377029,0.528,0.512
8,2,0.372519,0.538667,0.502667,0.37816,0.52,0.508
9,0.0625,0.379153,0.546667,0.489333,0.372116,0.516,0.528
10,0.0625,0.380289,0.556,0.484,0.368639,0.5,0.532
11,0.0625,0.377903,0.54,0.494667,0.376406,0.548,0.504
12,0.0625,0.379396,0.542667,0.493333,0.372092,0.544,0.496
13,0.0625,0.376748,0.541333,0.498667,0.373325,0.512,0.52
14,0.0625,0.377196,0.544,0.494667,0.374754,0.536,0.5
15,0.0625,0.378551,0.548,0.492,0.375585,0.492,0.54
16,0.0625,0.374616,0.530667,0.508,0.38064,0.544,0.492
17,1,0.376015,0.532,0.502667,0.375243,0.54,0.508
18,0.0625,0.380792,0.528,0.509333,0.371409,0.54,0.5
19,0.5,0.37844,0.536,0.496,0.376992,0.548,0.508
20,0.0625,0.380303,0.533333,0.502667,0.373155,0.548,0.5
21,0.0625,0.378917,0.538667,0.497333,0.376714,0.512,0.532
22,2,0.375595,0.526667,0.506667,0.375377,0.576,0.476
23,0.25,0.373786,0.526667,0.510667,0.38235,0.556,0.484
24,1,0.377324,0.538667,0.5,0.377999,0.54,0.496
25,0.0625,0.375428,0.534667,0.509333,0.377435,0.532,0.488
26,0.0625,0.378663,0.533333,0.508,0.37266,0.536,0.492
27,0.0625,0.376241,0.530667,0.510667,0.379508,0.564,0.464
28,2,0.372326,0.516,0.522667,0.382802,0.588,0.448
29,0.0625,0.378699,0.534667,0.504,0.374819,0.532,0.508
