num,lambda,trainprob,trainacc,trainmae,prob,acc,mae
0,0.0625,0.336276,0.398667,0.633333,0.336511,0.4,0.632
1,0.0625,0.336261,0.398667,0.633333,0.337211,0.4,0.632
2,0.0625,0.336368,0.398667,0.633333,0.33645,0.4,0.632
3,0.0625,0.336613,0.4,0.632,0.335977,0.396,0.636
4,0.0625,0.336728,0.4,0.632,0.335878,0.396,0.636
5,0.0625,0.336197,0.398667,0.633333,0.336326,0.4,0.632
6,0.0625,0.336429,0.4,0.632,0.335918,0.396,0.636
7,0.0625,0.336183,0.398667,0.633333,0.336301,0.4,0.632
8,0.0625,0.336801,0.4,0.632,0.335886,0.396,0.636
9,0.0625,0.336152,0.398667,0.633333,0.336458,0.4,0.632
10,0.0625,0.336821,0.4,0.632,0.335906,0.396,0.636
11,0.0625,0.336334,0.398667,0.633333,0.336071,0.4,0.632
12,0.0625,0.335976,0.398667,0.633333,0.336654,0.4,0.632
13,0.0625,0.336316,0.398667,0.633333,0.336563,0.4,0.632
14,0.0625,0.336122,0.398667,0.633333,0.33686,0.4,0.632
15,0.0625,0.33632,0.398667,0.633333,0.335712,0.4,0.632
16,0.0625,0.33655,0.4,0.632,0.336326,0.396,0.636
17,0.0625,0.336366,0.4,0.632,0.336414,0.396,0.636
18,0.0625,0.33643,0.398667,0.633333,0.336072,0.4,0.632
19,0.0625,0.336422,0.398667,0.633333,0.336438,0.4,0.632
20,0.0625,0.336316,0.398667,0.633333,0.336637,0.4,0.632
21,0.0625,0.336171,0.398667,0.633333,0.336328,0.4,0.632
22,0.0625,0.336328,0.398667,0.633333,0.336179,0.4,0.632
23,0.0625,0.336462,0.398667,0.633333,0.336563,0.4,0.632
24,0.0625,0.33631,0.398667,0.633333,0.336454,0.4,0.632
25,0.0625,0.336267,0.398667,0.633333,0.336535,0.4,0.632
26,0.0625,0.336245,0.398667,0.633333,0.33587,0.4,0.632
27,0.0625,0.33637,0.398667,0.633333,0.336083,0.4,0.632
28,0.0625,0.336249,0.398667,0.633333,0.336891,0.4,0.632
29,0.0625,0.336805,0.4,0.632,0.335707,0.396,0.636
