num,lambda,trainprob,trainacc,trainmae,prob,acc,mae
0,0.125,0.2586,0.333333,0.96732,0.250993,0.346154,1
1,0.0625,0.257367,0.326797,0.980392,0.255279,0.307692,0.942308
2,0.0625,0.25816,0.326797,0.973856,0.255046,0.326923,0.961538
3,0.0625,0.258955,0.333333,0.96732,0.25511,0.307692,1
4,0.125,0.255348,0.326797,0.973856,0.255793,0.365385,0.923077
5,0.0625,0.25799,0.326797,0.973856,0.252314,0.346154,0.980769
6,0.0625,0.257376,0.326797,0.980392,0.251014,0.346154,0.942308
7,0.0625,0.255819,0.326797,0.973856,0.257422,0.365385,0.923077
8,0.0625,0.256027,0.326797,0.973856,0.247607,0.326923,1.01923
9,0.0625,0.259066,0.333333,0.96732,0.244445,0.307692,1
10,0.125,0.257847,0.326797,0.973856,0.245905,0.307692,1
11,0.25,0.257807,0.333333,0.96732,0.245611,0.346154,0.961538
12,0.0625,0.259175,0.333333,0.96732,0.246522,0.326923,1.03846
13,0.125,0.257759,0.326797,0.973856,0.255865,0.326923,0.942308
14,0.0625,0.256042,0.326797,0.973856,0.251408,0.307692,1.01923
15,0.125,0.255369,0.326797,0.973856,0.255437,0.346154,0.923077
16,0.0625,0.257269,0.326797,0.980392,0.255095,0.384615,0.903846
17,0.5,0.254671,0.333333,0.96732,0.249338,0.346154,0.942308
18,0.25,0.255392,0.326797,0.980392,0.251742,0.365385,0.903846
19,0.0625,0.258232,0.326797,0.973856,0.249525,0.346154,0.961538
20,0.0625,0.257314,0.326797,0.980392,0.257387,0.326923,0.961538
21,0.125,0.258688,0.333333,0.96732,0.248048,0.288462,0.980769
22,0.125,0.255229,0.326797,0.973856,0.2579,0.365385,0.923077
23,0.0625,0.254838,0.326797,0.980392,0.251266,0.346154,0.942308
24,0.0625,0.25746,0.326797,0.980392,0.252724,0.288462,0.980769
25,0.0625,0.257383,0.326797,0.980392,0.255153,0.346154,0.923077
26,0.0625,0.257307,0.326797,0.980392,0.250952,0.346154,0.961538
27,0.125,0.258593,0.333333,0.96732,0.248932,0.326923,1
28,0.0625,0.256004,0.326797,0.973856,0.255816,0.346154,0.903846
29,0.0625,0.256092,0.326797,0.973856,0.254378,0.346154,0.961538
