num,lambda,trainprob,trainacc,trainmae,prob,acc,mae
0,0.0625,0.395787,0.571429,0.52381,0.400122,0.6,0.6
1,2,0.441294,0.571429,0.52381,0.467183,0.6,0.466667
2,2,0.50504,0.595238,0.452381,0.431502,0.6,0.666667
3,0.5,0.788233,1,0,0.500183,0.533333,0.466667
4,2,0.478082,0.571429,0.52381,0.463374,0.666667,0.533333
5,1,0.628182,0.809524,0.190476,0.472269,0.533333,0.533333
6,2,0.484007,0.595238,0.47619,0.419985,0.533333,0.666667
7,0.0625,0.961901,1,0,0.498238,0.466667,0.666667
8,0.0625,0.960493,1,0,0.51592,0.6,0.533333
9,1,0.614925,0.857143,0.142857,0.466318,0.533333,0.6
10,2,0.464229,0.571429,0.5,0.438528,0.6,0.6
11,4,0.396347,0.571429,0.52381,0.400637,0.6,0.6
12,1,0.615219,0.809524,0.190476,0.494986,0.6,0.466667
13,0.5,0.774386,0.97619,0.0238095,0.552201,0.733333,0.466667
14,2,0.466897,0.571429,0.47619,0.440209,0.6,0.6
15,2,0.485182,0.571429,0.47619,0.403447,0.533333,0.666667
16,0.5,0.755707,0.928571,0.0714286,0.494787,0.6,0.533333
17,2,0.466028,0.571429,0.52381,0.431369,0.6,0.6
18,2,0.462767,0.595238,0.452381,0.428347,0.533333,0.666667
19,2,0.482912,0.595238,0.47619,0.411746,0.533333,0.666667
20,1,0.620101,0.809524,0.190476,0.509636,0.6,0.533333
21,0.5,0.762996,0.97619,0.0238095,0.56266,0.666667,0.4
22,1,0.614371,0.809524,0.190476,0.524,0.666667,0.466667
23,1,0.618728,0.785714,0.214286,0.528969,0.666667,0.4
24,4,0.438016,0.595238,0.47619,0.375689,0.533333,0.733333
25,0.25,0.869624,1,0,0.419362,0.466667,0.6
26,1,0.588446,0.738095,0.261905,0.458964,0.6,0.533333
27,0.5,0.743368,0.928571,0.0714286,0.490882,0.6,0.466667
28,0.5,0.750756,0.952381,0.047619,0.43695,0.4,0.733333
29,2,0.505277,0.642857,0.404762,0.419953,0.533333,0.733333
